INFO 2026-03-26 23:43:17,058 log 780 1804 "GET /__debug__/history_sidebar/?request_id=bb7716d2268548febb67934027959570 HTTP/1.1" 200 10140
INFO 2026-03-26 23:43:19,700 log 780 1804 "POST /api/docs/generate-code/ HTTP/1.1" 200 136
INFO 2026-03-26 23:43:19,934 log 780 1804 "GET /__debug__/history_sidebar/?request_id=048e3e72aa23418bb1d7978ec55ba600 HTTP/1.1" 200 10140
INFO 2026-03-26 23:43:20,953 log 780 1804 "POST /api/docs/generate-code/ HTTP/1.1" 200 197
INFO 2026-03-26 23:43:21,189 log 780 1804 "GET /__debug__/history_sidebar/?request_id=f909f23744e94951aa58210bb6e07d02 HTTP/1.1" 200 10140
INFO 2026-03-26 23:43:22,159 log 780 1804 "POST /api/docs/generate-code/ HTTP/1.1" 200 455
INFO 2026-03-26 23:43:22,391 log 780 1804 "GET /__debug__/history_sidebar/?request_id=0727349394e740349bf0ed0509fbaa6c HTTP/1.1" 200 10140
INFO 2026-03-26 23:43:41,724 log 780 1804 "POST /api/docs/generate-code/ HTTP/1.1" 200 283
INFO 2026-03-26 23:43:41,945 log 780 1804 "GET /__debug__/history_sidebar/?request_id=9476fbe4e9f44b0798bea9513f9799f2 HTTP/1.1" 200 10140
INFO 2026-03-26 23:46:04,025 autoreload 780 14064 C:\Users\shaho\OneDrive\Desktop\turizm\apps\main\models.py changed, reloading.
INFO 2026-03-26 23:46:06,323 autoreload 8224 20180 Watching for file changes with StatReloader
INFO 2026-03-26 23:54:30,952 autoreload 8224 20180 C:\Users\shaho\OneDrive\Desktop\turizm\apps\main\models.py changed, reloading.
INFO 2026-03-26 23:54:34,973 autoreload 21156 19948 Watching for file changes with StatReloader
INFO 2026-03-26 23:54:40,764 autoreload 21156 19948 C:\Users\shaho\OneDrive\Desktop\turizm\apps\main\models.py changed, reloading.
INFO 2026-03-26 23:54:43,317 autoreload 16264 6292 Watching for file changes with StatReloader
INFO 2026-03-26 23:54:47,728 autoreload 16264 6292 C:\Users\shaho\OneDrive\Desktop\turizm\apps\main\models.py changed, reloading.
INFO 2026-03-26 23:54:50,518 autoreload 10672 14588 Watching for file changes with StatReloader
INFO 2026-03-26 23:55:52,563 autoreload 10672 14588 C:\Users\shaho\OneDrive\Desktop\turizm\apps\main\models.py changed, reloading.
INFO 2026-03-26 23:55:56,383 autoreload 15872 20584 Watching for file changes with StatReloader
INFO 2026-03-26 23:56:42,189 autoreload 15872 20584 C:\Users\shaho\OneDrive\Desktop\turizm\apps\main\models.py changed, reloading.
INFO 2026-03-26 23:56:49,061 autoreload 6744 13176 Watching for file changes with StatReloader
INFO 2026-03-26 23:59:45,732 autoreload 6744 13176 C:\Users\shaho\OneDrive\Desktop\turizm\apps\main\models.py changed, reloading.
INFO 2026-03-26 23:59:48,511 autoreload 17960 17740 Watching for file changes with StatReloader
INFO 2026-03-27 00:02:51,289 autoreload 17960 17740 C:\Users\shaho\OneDrive\Desktop\turizm\apps\main\models.py changed, reloading.
INFO 2026-03-27 00:02:52,804 autoreload 11948 19500 Watching for file changes with StatReloader
INFO 2026-03-27 00:03:29,653 autoreload 11948 19500 C:\Users\shaho\OneDrive\Desktop\turizm\apps\main\models.py changed, reloading.
INFO 2026-03-27 00:03:30,560 autoreload 22092 15108 Watching for file changes with StatReloader
INFO 2026-03-27 00:03:43,426 autoreload 22092 15108 C:\Users\shaho\OneDrive\Desktop\turizm\apps\main\models.py changed, reloading.
INFO 2026-03-27 00:03:44,377 autoreload 10656 2000 Watching for file changes with StatReloader
